"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"28","crbt-community-library","Random ringtone","GET","http://localhost:8091/library/ringtones/random","PASS","200","12","uat-20260605-081318-028","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":2,""title"":""Waiting For You"",""artistName"":""MONO"",""audioUrl"":""http://minio:9000/audio/waiting-for-you.mp3"",""coverImageUrl"":null,""durationSeconds"":30,""featured"":true,""status"":true,""selectionCount"":0,""category"":{""id"":5,""name"":""Thiáº¿u nhi"",""description"":""Nháº¡c thiáº¿u nhi, vui tÆ°Æ¡i"",""createdAt"":""2026-06-04T16:39:30.969123Z"",""updatedAt"":null},""mood"":{""id"":1,""name"":""Vui"",""description"":""Vui váº», sÃ´i Äá»ng, tÃ­ch cá»±c"",""createdAt"":""2026-06-04T16:39:31."
"29","audio-generation-service","Audio job submit","POST","http://localhost:8092/audio-jobs","PASS","202","801","uat-20260605-081318-029","HTTP 202","{""success"":true,""message"":""OK"",""data"":{""id"":4,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""COMPLETED"",""resultUrl"":""http://localhost:9000/media-audio/lyria-ff126fc4-3974-47b1-9db5-04c1e239a3e2.mp3"",""errorMessage"":null,""createdAt"":""2026-06-05T01:13:20.691128243Z""},""timestamp"":1780622001478}"
"30","audio-generation-service","Audio job list","GET","http://localhost:8092/audio-jobs","PASS","200","11","uat-20260605-081318-030","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":4,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""COMPLETED"",""resultUrl"":""http://localhost:9000/media-audio/lyria-ff126fc4-3974-47b1-9db5-04c1e239a3e2.mp3"",""errorMessage"":null,""createdAt"":""2026-06-05T01:13:20.691128Z""},{""id"":3,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""COMPLETED"",""resultUrl"":""http://localhost:9000/media-audio/lyria-acb2aadb-4362-4204-9fbe-6958fb6ee889.mp3"
"31","audio-generation-service","Audio job detail","GET","http://localhost:8092/audio-jobs/4","PASS","200","10","uat-20260605-081318-031","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":4,""prompt"":""Create short upbeat UAT CRBT tune"",""voiceId"":""vi-VN-HoaiMyNeural"",""status"":""COMPLETED"",""resultUrl"":""http://localhost:9000/media-audio/lyria-ff126fc4-3974-47b1-9db5-04c1e239a3e2.mp3"",""errorMessage"":null,""createdAt"":""2026-06-05T01:13:20.691128Z""},""timestamp"":1780622001506}"
"32","audio-generation-service","Audio analyze","POST","http://localhost:8092/audio-jobs/analyze","FAIL","500","4","uat-20260605-081318-032","The remote server returned an error: (500) Internal Server Error.","{""errorCode"":""COMMON_INTERNAL_ERROR"",""message"":""Internal server error"",""timestamp"":1780622001519}"
"33","audio-generation-service","DIY generate","POST","http://localhost:8092/diy/generate","WARN","400","10","uat-20260605-081318-033","The remote server returned an error: (400) Bad Request.","{""errorCode"":""COMMON_BAD_REQUEST"",""message"":""Missing vocal start or end time"",""timestamp"":1780622001527}"
"34","audio-generation-service","DIY analyze","POST","http://localhost:8092/diy/analyze","WARN","400","11","uat-20260605-081318-034","The remote server returned an error: (400) Bad Request.","{""errorCode"":""COMMON_BAD_REQUEST"",""message"":""Either file or audioFileKey must be provided"",""timestamp"":1780622001543}"
"35","crbt-core-adapter","Assign ringtone","POST","http://localhost:8094/ringtone-assignments","PASS","202","113","uat-20260605-081318-035","HTTP 202","{""success"":true,""message"":""OK"",""data"":{""id"":4,""msisdn"":""84960000999"",""ringtoneUrl"":""https://example.com/audio/uat-ringtone.mp3"",""status"":""FAILED"",""mytoneTransactionId"":null,""errorMessage"":""Transcoding failure: https://example.com/audio/uat-ringtone.mp3"",""createdAt"":""2026-06-05T01:13:21.562837729Z""},""timestamp"":1780622001652}"
"36","crbt-core-adapter","List assignments","GET","http://localhost:8094/ringtone-assignments?msisdn=84960000999","PASS","200","14","uat-20260605-081318-036","HTTP 200","{""success"":true,""message"":""OK"",""data"":[{""id"":4,""msisdn"":""84960000999"",""ringtoneUrl"":""https://example.com/audio/uat-ringtone.mp3"",""status"":""FAILED"",""mytoneTransactionId"":null,""errorMessage"":""Transcoding failure: https://example.com/audio/uat-ringtone.mp3"",""createdAt"":""2026-06-05T01:13:21.562838Z""},{""id"":3,""msisdn"":""84960000999"",""ringtoneUrl"":""https://example.com/audio/uat-ringtone.mp3"",""status"":""FAILED"",""mytoneTransactionId"":null,""errorMessage"":""Mytone unavailable: I/O error on DELETE request for"
"37","file-service","Presigned upload URL","GET","http://localhost:8083/api/files/presigned/upload?originalName=uat-audio.mp3&contentType=audio/mpeg","PASS","200","15","uat-20260605-081318-037","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""fileId"":4,""objectKey"":""640e0497-50aa-47e1-ba9d-51fce2feca8f-uat-audio.mp3"",""url"":""http://localhost:9000/media-temp/640e0497-50aa-47e1-ba9d-51fce2feca8f-uat-audio.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=admin%2F20260605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260605T011321Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=aee880b95802f0c582029f4dffa489f623fc59773950dcda77ce63b836542007"",""expiresInSeconds"":300},""timestamp"":178062"
"38","file-service","Multipart upload","POST","http://localhost:8083/api/files/upload","FAIL","500","51","uat-20260605-081318-038","The remote server returned an error: (500) Internal Server Error.","{""errorCode"":""COMMON_INTERNAL_ERROR"",""message"":""Internal server error"",""timestamp"":1780622001760}"
"39","file-service","Confirm file","POST","http://localhost:8083/api/files/{fileId}/confirm","SKIP",,"0","","Missing fileId dependency",""
"40","file-service","Presigned download URL","GET","http://localhost:8083/api/files/{fileId}/presigned/download","SKIP",,"0","","Missing fileId dependency",""
"41","file-service","Internal upload audio","POST","http://localhost:8083/api/files/internal/upload-audio?bucket=media-audio","PASS","200","16","uat-20260605-081318-041","HTTP 200","{""success"":true,""message"":""OK"",""data"":""http://localhost:9000/media-audio/lyria-3da4e436-7fb0-4adc-99e8-1c0f67a7ce1f.mp3"",""timestamp"":1780622001774}"
"42","crbt-credit-transaction-service","Credit transaction history","GET","http://localhost:8093/credit-transactions/history","PASS","200","14","uat-20260605-081318-042","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""content"":[{""id"":11,""userId"":3,""amount"":1,""direction"":""DEDUCT"",""reason"":""UAT_DEDUCT"",""referenceId"":""uat-20260605-081318-wallet-deduct"",""timestamp"":1780621999662,""createdAt"":""2026-06-05T01:13:19.664487Z""},{""id"":10,""userId"":3,""amount"":5,""direction"":""ADD"",""reason"":""UAT_ADD"",""referenceId"":""uat-20260605-081318-wallet-add"",""timestamp"":1780621999602,""createdAt"":""2026-06-05T01:13:19.606022Z""},{""id"":9,""userId"":3,""amount"":1,""direction"":""DEDUCT"",""reason"":""UAT_DEDUCT"","
"43","crbt-credit-transaction-service","Credit transaction export","GET","http://localhost:8093/credit-transactions/export","PASS","200","12","uat-20260605-081318-043","HTTP 200","ID,User ID,Amount,Direction,Reason,Reference ID,Timestamp,Created At
1,3,5,ADD,""UAT_ADD"",uat-20260604-233948-wallet-add,1780591191799,2026-06-04T16:39:51.832924Z
2,3,1,DEDUCT,""UAT_DEDUCT"",uat-20260604-233948-wallet-deduct,1780591191830,2026-06-04T16:39:51.855039Z
3,3,5,ADD,""UAT_ADD"",uat-20260604-234008-wallet-add,1780591210047,2026-06-04T16:40:10.049729Z
4,3,1,DEDUCT,""UAT_DEDUCT"",uat-20260604-234008-wallet-deduct,1780591210106,2026-06-04T16:40:10.108420Z
5,3,5,ADD,""UAT_ADD"",uat-20260605-081038-w"
"44","audit-log-service","Audit query","GET","http://localhost:8084/audit/query","PASS","200","14","uat-20260605-081318-044","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""content"":[{""id"":181,""userId"":3,""action"":""GET /credit-transactions/export"",""sourceIp"":""172.18.0.1"",""status"":""SUCCESS"",""metadataJson"":""{\""duration_ms\"":3,\""controller\"":\""CreditTransactionController\"",\""method\"":\""exportCsv\"",\""request_uri\"":\""/credit-transactions/export\""}"",""timestamp"":1780622001804,""createdAt"":""2026-06-05T01:13:21.807558Z""},{""id"":180,""userId"":3,""action"":""GET /credit-transactions/history"",""sourceIp"":""172.18.0.1"",""status"":""SUCCESS"",""metadata"
"45","crbt-core-adapter","Remove assignment","DELETE","http://localhost:8094/ringtone-assignments/4","PASS","200","17","uat-20260605-081318-045","HTTP 200","{""success"":true,""message"":""OK"",""data"":{""id"":4,""msisdn"":""84960000999"",""ringtoneUrl"":""https://example.com/audio/uat-ringtone.mp3"",""status"":""FAILED"",""mytoneTransactionId"":null,""errorMessage"":""Mytone unavailable: I/O error on DELETE request for \""https://cms.mytone.example.com/api/ringtones/84960000999\"": cms.mytone.example.com: Name does not resolve"",""createdAt"":""2026-06-05T01:13:21.562838Z""},""timestamp"":1780622001840}"
"46","file-service","Delete file","DELETE","http://localhost:8083/api/files/{fileId}","SKIP",,"0","","Missing fileId dependency",""
"47","crbt-community-library","Delete ringtone","DELETE","http://localhost:8091/library/ringtones/9","PASS","200","19","uat-20260605-081318-047","HTTP 200","{""success"":true,""message"":""OK"",""data"":null,""timestamp"":1780622001861}"
"48","crbt-community-library","Delete mood","DELETE","http://localhost:8091/library/moods/11","PASS","200","14","uat-20260605-081318-048","HTTP 200","{""success"":true,""message"":""OK"",""data"":null,""timestamp"":1780622001877}"
"49","crbt-community-library","Delete category","DELETE","http://localhost:8091/library/categories/11","PASS","200","14","uat-20260605-081318-049","HTTP 200","{""success"":true,""message"":""OK"",""data"":null,""timestamp"":1780622001892}"
